iter	Passed	Remaining
0	9	9535
1	21	10585
2	29	9911
3	38	9614
4	48	9592
5	64	10635
6	74	10537
7	83	10377
8	93	10312
9	102	10196
10	112	10089
11	121	9986
12	131	9976
13	140	9910
14	149	9825
15	159	9815
16	169	9776
17	178	9733
18	187	9668
19	196	9622
20	206	9630
21	220	9783
22	229	9764
23	241	9802
24	254	9926
25	264	9893
26	274	9882
27	284	9868
28	293	9833
29	303	9802
30	311	9736
31	321	9716
32	329	9658
33	339	9641
34	347	9584
35	357	9562
36	366	9542
37	375	9504
38	384	9471
39	393	9450
40	403	9442
41	414	9458
42	424	9444
43	434	9438
44	443	9419
45	453	9405
46	463	9398
47	472	9380
48	483	9386
49	493	9372
50	502	9353
51	511	9327
52	520	9305
53	529	9269
54	538	9260
55	548	9241
56	558	9231
57	565	9190
58	575	9178
59	585	9165
60	593	9142
61	603	9128
62	612	9107
63	635	9298
64	644	9269
65	654	9255
66	663	9234
67	672	9214
68	681	9191
69	690	9172
70	698	9144
71	708	9125
72	717	9108
73	726	9087
74	735	9073
75	744	9048
76	752	9025
77	761	9001
78	770	8988
79	780	8973
80	789	8955
81	798	8939
82	807	8924
83	817	8909
84	825	8884
85	835	8875
86	843	8854
87	852	8832
88	861	8816
89	869	8796
90	878	8776
91	887	8760
92	896	8743
93	905	8725
94	914	8708
95	922	8684
96	931	8667
97	939	8649
98	949	8640
99	958	8623
100	967	8611
101	976	8595
102	985	8582
103	994	8565
104	1003	8550
105	1012	8539
106	1022	8535
107	1032	8527
108	1041	8512
109	1051	8505
110	1060	8492
111	1069	8476
112	1078	8461
113	1086	8447
114	1095	8428
115	1104	8415
116	1112	8395
117	1121	8379
118	1130	8370
119	1139	8357
120	1149	8347
121	1158	8340
122	1167	8326
123	1176	8313
124	1185	8300
125	1193	8281
126	1203	8276
127	1216	8288
128	1227	8289
129	1236	8273
130	1245	8259
131	1254	8246
132	1263	8234
133	1271	8219
134	1281	8208
135	1290	8197
136	1299	8182
137	1308	8171
138	1316	8154
139	1325	8145
140	1334	8128
141	1344	8123
142	1354	8115
143	1363	8105
144	1373	8096
145	1381	8083
146	1391	8071
147	1399	8057
148	1408	8045
149	1418	8038
150	1428	8030
151	1439	8028
152	1447	8016
153	1456	8004
154	1465	7991
155	1475	7980
156	1483	7965
157	1492	7955
158	1501	7943
159	1510	7932
160	1519	7919
161	1528	7908
162	1540	7908
163	1549	7901
164	1558	7889
165	1567	7877
166	1577	7866
167	1586	7856
168	1595	7845
169	1604	7833
170	1613	7824
171	1624	7818
172	1634	7815
173	1644	7804
174	1653	7793
175	1662	7781
176	1670	7767
177	1679	7753
178	1688	7742
179	1697	7730
180	1706	7720
181	1715	7708
182	1724	7701
183	1734	7692
184	1743	7681
185	1752	7670
186	1761	7659
187	1770	7647
188	1780	7638
189	1789	7630
190	1799	7621
191	1808	7610
192	1817	7600
193	1827	7593
194	1839	7591
195	1848	7583
196	1857	7570
197	1866	7560
198	1875	7549
199	1884	7539
200	1894	7529
201	1903	7517
202	1912	7508
203	1921	7498
204	1930	7488
205	1940	7479
206	1949	7468
207	1958	7457
208	1967	7444
209	1976	7435
210	1985	7425
211	1995	7416
212	2004	7406
213	2013	7394
214	2021	7382
215	2031	7375
216	2042	7368
217	2061	7395
218	2071	7386
219	2080	7376
220	2089	7365
221	2098	7354
222	2107	7342
223	2116	7331
224	2124	7319
225	2134	7309
226	2143	7297
227	2152	7289
228	2161	7278
229	2170	7267
230	2179	7256
231	2188	7245
232	2197	7234
233	2206	7222
234	2215	7212
235	2224	7200
236	2233	7191
237	2245	7187
238	2253	7176
239	2310	7315
240	2334	7353
241	2345	7346
242	2353	7333
243	2363	7322
244	2372	7310
245	2381	7299
246	2391	7289
247	2399	7277
248	2409	7266
249	2418	7254
250	2427	7243
251	2436	7233
252	2447	7225
253	2457	7218
254	2466	7206
255	2476	7196
256	2484	7183
257	2494	7172
258	2503	7161
259	2512	7149
260	2521	7139
261	2530	7128
262	2539	7117
263	2549	7106
264	2558	7094
265	2566	7083
266	2575	7071
267	2584	7059
268	2593	7048
269	2602	7036
270	2611	7025
271	2620	7014
272	2629	7001
273	2638	6991
274	2648	6982
275	2658	6973
276	2667	6962
277	2675	6949
278	2685	6938
279	2693	6926
280	2702	6915
281	2710	6902
282	2719	6890
283	2728	6877
284	2736	6865
285	2744	6852
286	2753	6841
287	2762	6829
288	2771	6819
289	2780	6807
290	2789	6796
291	2798	6784
292	2807	6773
293	2817	6765
294	2826	6755
295	2836	6745
296	2845	6735
297	2855	6727
298	2864	6716
299	2873	6705
300	2883	6695
301	2892	6684
302	2901	6674
303	2910	6663
304	2919	6653
305	2929	6642
306	2938	6633
307	2949	6627
308	2958	6616
309	2967	6605
310	2976	6595
311	2986	6584
312	2995	6574
313	3004	6563
314	3013	6552
315	3022	6541
316	3031	6532
317	3040	6520
318	3050	6513
319	3060	6504
320	3070	6494
321	3078	6482
322	3088	6472
323	3097	6461
324	3106	6451
325	3115	6440
326	3123	6428
327	3132	6417
328	3141	6406
