iter	MultiClass
0	1.011222338
1	0.9458563894
2	0.8929637179
3	0.8484028656
4	0.8140311232
5	0.7829059203
6	0.7572428152
7	0.7346541224
8	0.7168099757
9	0.6995344672
10	0.6841951997
11	0.6714231472
12	0.6606113338
13	0.65087295
14	0.6421517593
15	0.6339469938
16	0.6267148992
17	0.6203299808
18	0.6146690788
19	0.6095878225
20	0.605083484
21	0.6008212795
22	0.5969436602
23	0.5934269926
24	0.590485617
25	0.5874359141
26	0.584715177
27	0.5819008495
28	0.5794982728
29	0.5776595717
30	0.5755343072
31	0.5737561483
32	0.5722367673
33	0.5702699092
34	0.5687074734
35	0.5675101189
36	0.5659724494
37	0.5647177024
38	0.5632594125
39	0.5619462749
40	0.5611028626
41	0.5601430514
42	0.5593677693
43	0.5582789957
44	0.5574090149
45	0.556676263
46	0.5557688911
47	0.5551116593
48	0.5544853073
49	0.5537581012
