iter	Passed	Remaining
0	7	384
1	14	359
2	21	338
3	32	369
4	45	406
5	52	382
6	59	366
7	67	352
8	74	341
9	81	326
10	92	327
11	102	325
12	115	329
13	124	320
14	137	321
15	147	312
16	173	336
17	192	341
18	200	326
19	207	310
20	215	298
21	225	286
22	234	275
23	242	262
24	250	250
25	257	237
26	264	225
27	271	213
28	280	202
29	287	191
30	297	182
31	307	173
32	318	163
33	334	157
34	349	149
35	376	146
36	388	136
37	399	126
38	410	115
39	420	105
40	444	97
41	467	89
42	482	78
43	494	67
44	507	56
45	517	45
46	525	33
47	535	22
48	544	11
49	552	0
