iter	Logloss
0	0.6621132696
1	0.6374682863
2	0.6130007414
3	0.5954417285
4	0.5831891021
5	0.5718105551
6	0.56331556
7	0.5542376303
8	0.5432083974
9	0.5327078429
10	0.5256285415
11	0.520416712
12	0.5121393673
13	0.5073335514
14	0.5027947101
15	0.4987921884
16	0.4950923635
17	0.4910768978
18	0.4870345499
19	0.4846713298
20	0.4821882029
21	0.4800335375
22	0.4785432628
23	0.4756830871
24	0.4738045113
25	0.4717042448
26	0.4699469111
27	0.4687294522
28	0.4673129991
29	0.465340425
30	0.4636464115
31	0.4625843204
32	0.461324825
33	0.4603683365
34	0.4586867026
35	0.4572025305
36	0.4553453865
37	0.453842974
38	0.4527293627
39	0.4518632139
40	0.4511925147
41	0.4504293166
42	0.4490618855
43	0.447406448
44	0.4460768848
45	0.4452765514
46	0.444329976
47	0.443745147
48	0.4426440989
49	0.4422145658
50	0.4416142379
51	0.4408627159
52	0.4402270085
53	0.4395468262
54	0.4392310737
55	0.4380702282
56	0.4369246425
57	0.4359852449
58	0.4355158137
59	0.4349096707
60	0.4343891545
61	0.433909857
62	0.4333001918
63	0.4329206494
64	0.4324766979
65	0.4320092936
66	0.4316372348
67	0.4313247363
68	0.4310436028
69	0.4308240136
70	0.4304745004
71	0.4295644095
72	0.4289740868
73	0.4286220735
74	0.4279870628
75	0.4273661378
76	0.4265242364
77	0.4261072394
78	0.4256142523
79	0.4251768776
80	0.4248133183
81	0.4244686523
82	0.4241218067
83	0.4237416789
84	0.4234549168
85	0.4232404908
86	0.4227387072
87	0.4225312967
88	0.4221506564
89	0.4218209231
90	0.4214506366
91	0.4211089233
92	0.4207191667
93	0.4200879573
94	0.4195737308
95	0.4192786042
96	0.4187076438
97	0.4183447914
98	0.4180472225
99	0.4178077038
100	0.4173672228
101	0.4170193848
102	0.4167241981
103	0.4164093413
104	0.4146955122
105	0.4144477057
106	0.4140882299
107	0.4137043678
108	0.4134648944
109	0.4130098888
110	0.4128126705
111	0.4123799054
112	0.4119952759
113	0.41171934
114	0.4113354471
115	0.4111518684
116	0.4108031537
117	0.4106134013
118	0.4102107223
119	0.409591898
120	0.4093619008
121	0.4090813111
122	0.4087610692
123	0.408432922
124	0.408107753
125	0.4079325181
126	0.407629735
127	0.4073707663
128	0.4061986838
129	0.4058540271
130	0.4056109343
131	0.4054176566
132	0.4043973925
133	0.4041372991
134	0.4038189719
135	0.4036551285
136	0.4034280342
137	0.4030908159
138	0.4028780584
139	0.4025596405
140	0.402261152
141	0.4021004558
142	0.4019401311
143	0.4012693068
144	0.4004868185
145	0.4001804916
146	0.3998429083
147	0.3993300985
148	0.399005498
149	0.3986597271
150	0.3985052685
151	0.3983151528
152	0.3980794478
153	0.3974266509
154	0.3971242771
155	0.3968844331
156	0.396686789
157	0.3964562704
158	0.3963099728
159	0.3960992766
160	0.3958347324
161	0.3957073875
162	0.395564428
163	0.3954121453
164	0.3952012181
165	0.3949595209
166	0.394777388
167	0.394472241
168	0.3942503561
169	0.3939751307
170	0.3937341406
171	0.3932137126
172	0.3929478074
173	0.3927728863
174	0.3926065666
175	0.3924235646
176	0.392191801
177	0.3917823808
178	0.3914989816
179	0.3913985929
180	0.389733014
181	0.3894806652
182	0.3893073597
183	0.3891630203
184	0.3889463246
185	0.3884619375
186	0.3882990401
187	0.3880677369
188	0.3879572582
189	0.3877145077
190	0.3875021854
191	0.3873100393
192	0.3866657738
193	0.386497973
194	0.3859592237
195	0.3857649709
196	0.3853403986
197	0.3851860735
198	0.3850506857
199	0.3848245747
200	0.3846750164
201	0.384567505
202	0.3843935923
203	0.3842457146
204	0.3840905332
205	0.383868114
206	0.3834894405
207	0.3831615062
208	0.3829443999
209	0.3827397909
210	0.3825532357
211	0.3823550512
212	0.3820744145
213	0.3819562345
214	0.3817604286
215	0.3815634038
216	0.3813906074
217	0.3811171255
218	0.3808812486
219	0.3807419731
220	0.3805708925
221	0.3804687837
222	0.380330362
223	0.3801948182
224	0.3800731591
225	0.3797636906
226	0.3795905236
227	0.3794032639
228	0.3792728642
229	0.379079411
230	0.3789051781
231	0.3787721943
232	0.3783684039
233	0.378059605
234	0.3778109233
235	0.3776439822
236	0.3774734368
237	0.3773237348
238	0.3771157387
239	0.3769734731
240	0.3768129526
241	0.3766938563
242	0.3765515984
243	0.3764392945
244	0.3762774881
245	0.3761747042
246	0.3759983907
247	0.3758340841
248	0.3756880882
249	0.3755623553
250	0.3754294078
251	0.3752956511
252	0.3751658574
253	0.3749056567
254	0.3746456807
255	0.3745167908
256	0.374397087
257	0.374163982
258	0.3740023816
259	0.3739578639
260	0.3738276035
261	0.373518201
262	0.373327777
263	0.3732379274
264	0.3730520004
265	0.3729275533
266	0.3727793244
267	0.3726272822
268	0.3725239534
269	0.3723903241
270	0.372247986
271	0.3721196589
272	0.3719460704
273	0.3717569625
274	0.3715545864
275	0.3713072339
276	0.3706059006
277	0.3696451864
278	0.3695859589
279	0.3695035905
280	0.369370576
281	0.3691446115
282	0.3690038588
283	0.3689034746
284	0.368766394
285	0.3686342793
286	0.3685317698
287	0.36840875
288	0.3682674205
289	0.3681578899
290	0.3678866961
291	0.3677138234
292	0.3676204124
293	0.3674962611
294	0.3673554074
295	0.3671286182
296	0.3669041061
297	0.3666504569
298	0.3665028264
299	0.3664247331
300	0.3662377482
301	0.3660357002
302	0.3658164664
303	0.3652077769
304	0.365088264
305	0.3650199215
306	0.3649060979
307	0.3647479477
308	0.3645636762
309	0.3644140563
310	0.3642981149
311	0.364157898
312	0.3639843938
313	0.363848784
314	0.363697045
315	0.363534399
316	0.3634325732
317	0.3631521469
318	0.3630809243
319	0.3628404028
