iter	Passed	Remaining
0	0	967
1	0	1015
2	0	941
3	1	939
4	1	928
5	1	923
6	2	924
7	2	951
8	2	957
9	3	936
10	3	946
11	3	932
12	4	1073
13	4	1050
14	5	1033
15	5	1021
16	5	1041
17	6	1040
18	6	1033
19	6	1019
20	7	1010
21	7	1000
22	7	993
23	7	991
24	8	995
25	8	987
26	8	976
27	9	969
28	9	965
29	9	961
30	10	961
31	10	957
32	10	960
33	11	965
34	11	971
35	11	976
36	12	971
37	12	977
38	12	977
39	13	971
40	13	967
41	13	962
42	14	964
43	14	960
44	14	955
45	14	950
46	15	946
47	15	941
48	15	940
49	15	937
50	16	944
51	16	944
52	16	943
53	17	942
54	17	946
55	18	947
56	18	950
57	18	948
58	19	947
59	19	947
60	19	944
61	19	943
62	20	940
63	20	937
64	20	937
65	21	936
66	21	935
67	21	934
68	21	934
69	22	931
70	22	931
71	22	928
72	23	928
73	23	926
74	23	924
75	23	922
76	24	919
77	24	917
78	24	914
79	25	913
80	25	910
81	25	909
82	25	907
83	26	905
84	26	904
85	26	903
86	26	902
87	27	899
88	27	898
89	27	897
90	28	896
91	28	893
92	28	891
93	28	890
94	29	888
95	29	888
96	29	886
97	29	885
98	30	884
99	30	883
100	30	881
101	30	880
102	31	879
103	31	880
104	31	878
105	32	878
106	32	878
107	32	877
108	33	876
109	33	874
110	33	873
111	33	873
112	34	872
113	34	870
114	34	872
115	35	871
116	35	871
117	35	870
118	35	869
119	36	867
120	36	866
121	36	865
122	36	865
123	37	863
124	37	865
125	37	864
126	38	862
127	38	861
128	38	861
129	38	860
130	39	859
131	39	857
132	39	860
133	40	859
134	40	859
135	40	858
136	41	857
137	41	857
138	41	856
139	41	857
140	42	857
141	42	858
142	43	859
143	43	860
144	43	859
145	44	861
146	44	860
147	44	859
148	44	858
149	45	857
150	45	856
151	45	856
152	45	854
153	46	853
154	46	852
155	46	852
156	47	851
157	47	851
158	47	850
159	47	849
160	48	849
161	48	847
162	48	847
163	48	846
164	49	846
165	49	845
166	49	844
167	50	844
168	50	843
169	50	842
170	50	842
171	51	841
172	51	840
173	51	840
174	52	840
175	52	839
176	52	838
177	52	837
178	53	837
179	53	836
180	53	835
181	53	835
182	54	834
183	54	833
184	54	832
185	54	831
186	55	830
187	55	829
188	55	828
189	56	828
190	56	827
191	56	826
192	56	826
193	57	825
194	57	825
195	57	824
196	57	824
197	58	823
198	58	822
199	58	821
200	58	821
201	59	820
202	59	819
203	59	819
204	60	819
205	60	818
206	60	818
207	60	818
208	61	818
209	61	818
210	61	817
211	62	816
212	62	818
213	62	818
214	63	818
215	63	818
216	63	818
217	64	817
218	64	818
219	64	818
220	65	817
221	65	817
222	65	817
223	65	816
224	66	816
225	66	815
226	66	815
227	67	814
228	67	813
229	67	813
230	67	812
231	68	812
232	68	812
233	68	812
234	68	811
235	69	811
236	69	810
237	69	810
238	70	809
